"County, State",POP010210D,LND110210D,People_Per_Square_Mile
"Montague County, Texas","19,719 ",930.91 ,21.18 
"Montgomery County, Texas","455,746 ","1,041.74 ",437.49 
"Moore County, Texas","21,904 ",899.69 ,24.35 
"Morris County, Texas","12,934 ",251.99 ,51.33 
"Motley County, Texas","1,210 ",989.56 ,1.22 
"Nacogdoches County, Texas","64,524 ",946.54 ,68.17 
"Navarro County, Texas","47,735 ","1,009.63 ",47.28 
"Newton County, Texas","14,445 ",933.68 ,15.47 
"Nolan County, Texas","15,216 ",912.00 ,16.68 
"Nueces County, Texas","340,223 ",838.48 ,405.76 
"Ochiltree County, Texas","10,223 ",917.63 ,11.14 
"Oldham County, Texas","2,052 ","1,500.53 ",1.37 
"Orange County, Texas","81,837 ",333.67 ,245.26 
"Palo Pinto County, Texas","28,111 ",951.79 ,29.53 
"Panola County, Texas","23,796 ",801.75 ,29.68 
"Parker County, Texas","116,927 ",903.48 ,129.42 
"Parmer County, Texas","10,269 ",880.78 ,11.66 
"Pecos County, Texas","15,507 ","4,763.85 ",3.26 
"Polk County, Texas","45,413 ","1,057.09 ",42.96 
"Potter County, Texas","121,073 ",908.37 ,133.29 
"Presidio County, Texas","7,818 ","3,855.24 ",2.03 
"Rains County, Texas","10,914 ",229.45 ,47.57 
"Randall County, Texas","120,725 ",911.54 ,132.44 
"Reagan County, Texas","3,367 ","1,175.30 ",2.86 
"Real County, Texas","3,309 ",699.20 ,4.73 
"Red River County, Texas","12,860 ","1,036.58 ",12.41 
"Reeves County, Texas","13,783 ","2,635.38 ",5.23 
"Refugio County, Texas","7,383 ",770.44 ,9.58 
"Roberts County, Texas",929 ,924.06 ,1.01 
"Robertson County, Texas","16,622 ",855.68 ,19.43 
"Rockwall County, Texas","78,337 ",127.04 ,616.63 
"Runnels County, Texas","10,501 ","1,050.95 ",9.99 
"Rusk County, Texas","53,330 ",924.03 ,57.71 
"Sabine County, Texas","10,834 ",491.39 ,22.05 
"San Augustine County, Texas","8,865 ",530.66 ,16.71 
"San Jacinto County, Texas","26,384 ",569.24 ,46.35 
"San Patricio County, Texas","64,804 ",693.45 ,93.45 
"San Saba County, Texas","6,131 ","1,135.30 ",5.40 
"Schleicher County, Texas","3,461 ","1,310.63 ",2.64 
"Scurry County, Texas","16,921 ",905.44 ,18.69 
"Shackelford County, Texas","3,378 ",914.29 ,3.69 
"Shelby County, Texas","25,448 ",795.58 ,31.99 
"Sherman County, Texas","3,034 ",923.04 ,3.29 
"Smith County, Texas","209,714 ",921.45 ,227.59 
