"County, State",POP010210D,LND110210D,People_Per_Square_Mile
"Lewis County, Washington","75,455 ","2,402.80 ",31.40 
"Lincoln County, Washington","10,570 ","2,310.49 ",4.57 
"Mason County, Washington","60,699 ",959.42 ,63.27 
"Okanogan County, Washington","41,120 ","5,267.98 ",7.81 
"Pacific County, Washington","20,920 ",932.66 ,22.43 
"Pend Oreille County, Washington","13,001 ","1,399.99 ",9.29 
"Pierce County, Washington","795,225 ","1,669.51 ",476.32 
"San Juan County, Washington","15,769 ",173.92 ,90.67 
"Skagit County, Washington","116,901 ","1,731.20 ",67.53 
"Skamania County, Washington","11,066 ","1,655.68 ",6.68 
"Snohomish County, Washington","713,335 ","2,087.27 ",341.76 
"Spokane County, Washington","471,221 ","1,763.79 ",267.16 
"Stevens County, Washington","43,531 ","2,477.77 ",17.57 
"Thurston County, Washington","252,264 ",721.96 ,349.42 
"Wahkiakum County, Washington","3,978 ",263.38 ,15.10 
"Walla Walla County, Washington","58,781 ","1,270.13 ",46.28 
"Whatcom County, Washington","201,140 ","2,106.86 ",95.47 
"Whitman County, Washington","44,776 ","2,159.09 ",20.74 
"Yakima County, Washington","243,231 ","4,295.40 ",56.63 
"Barbour County, West Virginia","16,589 ",341.06 ,48.64 
"Berkeley County, West Virginia","104,169 ",321.14 ,324.37 
"Boone County, West Virginia","24,629 ",501.54 ,49.11 
"Braxton County, West Virginia","14,523 ",510.81 ,28.43 
"Brooke County, West Virginia","24,069 ",89.21 ,269.80 
"Cabell County, West Virginia","96,319 ",281.02 ,342.75 
"Calhoun County, West Virginia","7,627 ",279.25 ,27.31 
"Clay County, West Virginia","9,386 ",341.90 ,27.45 
"Doddridge County, West Virginia","8,202 ",319.72 ,25.65 
"Fayette County, West Virginia","46,039 ",661.55 ,69.59 
"Gilmer County, West Virginia","8,693 ",338.50 ,25.68 
"Grant County, West Virginia","11,937 ",477.37 ,25.01 
"Greenbrier County, West Virginia","35,480 ","1,019.57 ",34.80 
"Hampshire County, West Virginia","23,964 ",640.25 ,37.43 
"Hancock County, West Virginia","30,676 ",82.61 ,371.34 
"Hardy County, West Virginia","14,025 ",582.31 ,24.09 
"Harrison County, West Virginia","69,099 ",416.01 ,166.10 
"Jackson County, West Virginia","29,211 ",464.35 ,62.91 
"Jefferson County, West Virginia","53,498 ",209.64 ,255.19 
"Kanawha County, West Virginia","193,063 ",901.59 ,214.14 
"Lewis County, West Virginia","16,372 ",384.90 ,42.54 
"Lincoln County, West Virginia","21,720 ",437.04 ,49.70 
"Logan County, West Virginia","36,743 ",453.74 ,80.98 
"McDowell County, West Virginia","22,113 ",533.46 ,41.45 
"Marion County, West Virginia","56,418 ",308.74 ,182.74 
"Marshall County, West Virginia","33,107 ",305.43 ,108.39 
"Mason County, West Virginia","27,324 ",430.75 ,63.43 
"Mercer County, West Virginia","62,264 ",418.99 ,148.60 
"Mineral County, West Virginia","28,212 ",327.83 ,86.06 
"Mingo County, West Virginia","26,839 ",423.11 ,63.43 
"Monongalia County, West Virginia","96,189 ",360.06 ,267.15 
"Monroe County, West Virginia","13,502 ",472.75 ,28.56 
"Morgan County, West Virginia","17,541 ",229.07 ,76.57 
"Nicholas County, West Virginia","26,233 ",646.82 ,40.56 
"Ohio County, West Virginia","44,443 ",105.82 ,419.99 
"Pendleton County, West Virginia","7,695 ",696.05 ,11.06 
"Pleasants County, West Virginia","7,605 ",130.10 ,58.46 
"Pocahontas County, West Virginia","8,719 ",940.28 ,9.27 
"Preston County, West Virginia","33,520 ",648.81 ,51.66 
"Putnam County, West Virginia","55,486 ",345.67 ,160.52 
"Raleigh County, West Virginia","78,859 ",605.35 ,130.27 
"Randolph County, West Virginia","29,405 ","1,039.68 ",28.28 
"Ritchie County, West Virginia","10,449 ",451.99 ,23.12 
"Roane County, West Virginia","14,926 ",483.56 ,30.87 
"Summers County, West Virginia","13,927 ",360.46 ,38.64 
"Taylor County, West Virginia","16,895 ",172.77 ,97.79 
"Tucker County, West Virginia","7,141 ",418.92 ,17.05 
"Tyler County, West Virginia","9,208 ",256.29 ,35.93 
"Upshur County, West Virginia","24,254 ",354.64 ,68.39 
"Wayne County, West Virginia","42,481 ",505.98 ,83.96 
"Webster County, West Virginia","9,154 ",553.47 ,16.54 
"Wetzel County, West Virginia","16,583 ",358.06 ,46.31 
"Wirt County, West Virginia","5,717 ",232.51 ,24.59 
"Wood County, West Virginia","86,956 ",366.26 ,237.42 
"Wyoming County, West Virginia","23,796 ",499.45 ,47.64 
"Adams County, Wisconsin","20,875 ",645.65 ,32.33 
"Ashland County, Wisconsin","16,157 ","1,045.04 ",15.46 
"Barron County, Wisconsin","45,870 ",862.71 ,53.17 
"Bayfield County, Wisconsin","15,014 ","1,477.86 ",10.16 
"Brown County, Wisconsin","248,007 ",529.71 ,468.19 
"Buffalo County, Wisconsin","13,587 ",671.64 ,20.23 
"Burnett County, Wisconsin","15,457 ",821.85 ,18.81 
"Calumet County, Wisconsin","48,971 ",318.24 ,153.88 
"Chippewa County, Wisconsin","62,415 ","1,008.37 ",61.90 
"Clark County, Wisconsin","34,690 ","1,209.82 ",28.67 
"Columbia County, Wisconsin","56,833 ",765.53 ,74.24 
"Crawford County, Wisconsin","16,644 ",570.66 ,29.17 
"Dane County, Wisconsin","488,073 ","1,197.24 ",407.67 
"Dodge County, Wisconsin","88,759 ",875.63 ,101.37 
"Door County, Wisconsin","27,785 ",481.98 ,57.65 
"Douglas County, Wisconsin","44,159 ","1,304.14 ",33.86 
"Dunn County, Wisconsin","43,857 ",850.11 ,51.59 
"Eau Claire County, Wisconsin","98,736 ",637.98 ,154.76 
"Florence County, Wisconsin","4,423 ",488.20 ,9.06 
"Fond du Lac County, Wisconsin","101,633 ",719.55 ,141.25 
"Forest County, Wisconsin","9,304 ","1,014.07 ",9.17 
"Grant County, Wisconsin","51,208 ","1,146.85 ",44.65 
"Green County, Wisconsin","36,842 ",583.96 ,63.09 
"Green Lake County, Wisconsin","19,051 ",349.44 ,54.52 
"Iowa County, Wisconsin","23,687 ",762.58 ,31.06 
"Iron County, Wisconsin","5,916 ",758.17 ,7.80 
"Jackson County, Wisconsin","20,449 ",987.72 ,20.70 
"Jefferson County, Wisconsin","83,686 ",556.47 ,150.39 
"Juneau County, Wisconsin","26,664 ",766.93 ,34.77 
"Kenosha County, Wisconsin","166,426 ",271.99 ,611.88 
"Kewaunee County, Wisconsin","20,574 ",342.52 ,60.07 
"La Crosse County, Wisconsin","114,638 ",451.69 ,253.80 
"Lafayette County, Wisconsin","16,836 ",633.59 ,26.57 
"Langlade County, Wisconsin","19,977 ",870.64 ,22.95 
"Lincoln County, Wisconsin","28,743 ",878.97 ,32.70 
"Manitowoc County, Wisconsin","81,442 ",589.08 ,138.25 
"Marathon County, Wisconsin","134,063 ","1,544.98 ",86.77 
"Marinette County, Wisconsin","41,749 ","1,399.35 ",29.83 
"Marquette County, Wisconsin","15,404 ",455.60 ,33.81 
"Menominee County, Wisconsin","4,232 ",357.61 ,11.83 
"Milwaukee County, Wisconsin","947,735 ",241.40 ,"3,925.99 "
"Monroe County, Wisconsin","44,673 ",900.78 ,49.59 
"Oconto County, Wisconsin","37,660 ",997.99 ,37.74 
"Oneida County, Wisconsin","35,998 ","1,112.97 ",32.34 
"Outagamie County, Wisconsin","176,695 ",637.52 ,277.16 
"Ozaukee County, Wisconsin","86,395 ",233.08 ,370.67 
"Pepin County, Wisconsin","7,469 ",231.98 ,32.20 
"Pierce County, Wisconsin","41,019 ",573.75 ,71.49 
"Polk County, Wisconsin","44,205 ",913.96 ,48.37 
"Portage County, Wisconsin","70,019 ",800.68 ,87.45 
"Price County, Wisconsin","14,159 ","1,254.38 ",11.29 
"Racine County, Wisconsin","195,408 ",332.50 ,587.69 
"Richland County, Wisconsin","18,021 ",586.15 ,30.74 
"Rock County, Wisconsin","160,331 ",718.14 ,223.26 
"Rusk County, Wisconsin","14,755 ",913.59 ,16.15 
"St. Croix County, Wisconsin","84,345 ",722.33 ,116.77 
"Sauk County, Wisconsin","61,976 ",830.90 ,74.59 
"Sawyer County, Wisconsin","16,557 ","1,257.31 ",13.17 
"Shawano County, Wisconsin","41,949 ",893.06 ,46.97 
"Sheboygan County, Wisconsin","115,507 ",511.27 ,225.92 
"Taylor County, Wisconsin","20,689 ",974.88 ,21.22 
"Trempealeau County, Wisconsin","28,816 ",732.97 ,39.31 
"Vernon County, Wisconsin","29,773 ",791.58 ,37.61 
"Vilas County, Wisconsin","21,430 ",856.60 ,25.02 
"Walworth County, Wisconsin","102,228 ",555.13 ,184.15 
"Washburn County, Wisconsin","15,911 ",797.11 ,19.96 
"Washington County, Wisconsin","131,887 ",430.70 ,306.22 
"Waukesha County, Wisconsin","389,891 ",549.57 ,709.45 
"Waupaca County, Wisconsin","52,410 ",747.71 ,70.09 
"Waushara County, Wisconsin","24,496 ",626.15 ,39.12 
"Winnebago County, Wisconsin","166,994 ",434.49 ,384.34 
"Wood County, Wisconsin","74,749 ",793.12 ,94.25 
"Albany County, Wyoming","36,299 ","4,273.84 ",8.49 
"Big Horn County, Wyoming","11,668 ","3,137.10 ",3.72 
"Campbell County, Wyoming","46,133 ","4,802.71 ",9.61 
"Carbon County, Wyoming","15,885 ","7,897.58 ",2.01 
"Converse County, Wyoming","13,833 ","4,254.88 ",3.25 
"Crook County, Wyoming","7,083 ","2,854.41 ",2.48 
"Fremont County, Wyoming","40,123 ","9,183.81 ",4.37 
"Goshen County, Wyoming","13,249 ","2,225.39 ",5.95 
"Hot Springs County, Wyoming","4,812 ","2,004.09 ",2.40 
"Johnson County, Wyoming","8,569 ","4,154.15 ",2.06 
"Laramie County, Wyoming","91,738 ","2,685.91 ",34.16 
"Lincoln County, Wyoming","18,106 ","4,076.13 ",4.44 
"Natrona County, Wyoming","75,450 ","5,340.35 ",14.13 
"Niobrara County, Wyoming","2,484 ","2,626.04 ",0.95 
"Park County, Wyoming","28,205 ","6,942.08 ",4.06 
"Platte County, Wyoming","8,667 ","2,084.21 ",4.16 
"Sheridan County, Wyoming","29,116 ","2,523.99 ",11.54 
"Sublette County, Wyoming","10,247 ","4,886.54 ",2.10 
"Sweetwater County, Wyoming","43,806 ","10,426.65 ",4.20 
"Teton County, Wyoming","21,294 ","3,995.38 ",5.33 
"Uinta County, Wyoming","21,118 ","2,081.26 ",10.15 
"Washakie County, Wyoming","8,533 ","2,238.55 ",3.81 
"Weston County, Wyoming","7,208 ","2,398.09 ",3.01 
