,zip,state,county,State Name,"County, State"
80,99705,AK,Fairbanks North Star Borough,Alaska,"Fairbanks North Star Borough, Alaska"
81,99707,AK,Fairbanks North Star Borough,Alaska,"Fairbanks North Star Borough, Alaska"
82,99708,AK,Fairbanks North Star Borough,Alaska,"Fairbanks North Star Borough, Alaska"
83,99709,AK,Fairbanks North Star Borough,Alaska,"Fairbanks North Star Borough, Alaska"
84,99710,AK,Fairbanks North Star Borough,Alaska,"Fairbanks North Star Borough, Alaska"
85,99711,AK,Fairbanks North Star Borough,Alaska,"Fairbanks North Star Borough, Alaska"
86,99712,AK,Fairbanks North Star Borough,Alaska,"Fairbanks North Star Borough, Alaska"
87,99714,AK,Fairbanks North Star Borough,Alaska,"Fairbanks North Star Borough, Alaska"
88,99716,AK,Fairbanks North Star Borough,Alaska,"Fairbanks North Star Borough, Alaska"
89,99725,AK,Fairbanks North Star Borough,Alaska,"Fairbanks North Star Borough, Alaska"
90,99775,AK,Fairbanks North Star Borough,Alaska,"Fairbanks North Star Borough, Alaska"
91,99827,AK,Haines Borough,Alaska,"Haines Borough, Alaska"
92,99820,AK,Hoonah-Angoon Census Area,Alaska,"Hoonah-Angoon Census Area, Alaska"
93,99825,AK,Hoonah-Angoon Census Area,Alaska,"Hoonah-Angoon Census Area, Alaska"
94,99826,AK,Hoonah-Angoon Census Area,Alaska,"Hoonah-Angoon Census Area, Alaska"
95,99829,AK,Hoonah-Angoon Census Area,Alaska,"Hoonah-Angoon Census Area, Alaska"
96,99832,AK,Hoonah-Angoon Census Area,Alaska,"Hoonah-Angoon Census Area, Alaska"
97,99841,AK,Hoonah-Angoon Census Area,Alaska,"Hoonah-Angoon Census Area, Alaska"
98,99801,AK,Juneau City and Borough,Alaska,"Juneau City and Borough, Alaska"
99,99824,AK,Juneau City and Borough,Alaska,"Juneau City and Borough, Alaska"
100,99556,AK,Kenai Peninsula Borough,Alaska,"Kenai Peninsula Borough, Alaska"
101,99568,AK,Kenai Peninsula Borough,Alaska,"Kenai Peninsula Borough, Alaska"
102,99572,AK,Kenai Peninsula Borough,Alaska,"Kenai Peninsula Borough, Alaska"
103,99603,AK,Kenai Peninsula Borough,Alaska,"Kenai Peninsula Borough, Alaska"
104,99605,AK,Kenai Peninsula Borough,Alaska,"Kenai Peninsula Borough, Alaska"
105,99610,AK,Kenai Peninsula Borough,Alaska,"Kenai Peninsula Borough, Alaska"
106,99611,AK,Kenai Peninsula Borough,Alaska,"Kenai Peninsula Borough, Alaska"
107,99631,AK,Kenai Peninsula Borough,Alaska,"Kenai Peninsula Borough, Alaska"
108,99635,AK,Kenai Peninsula Borough,Alaska,"Kenai Peninsula Borough, Alaska"
109,99639,AK,Kenai Peninsula Borough,Alaska,"Kenai Peninsula Borough, Alaska"
110,99663,AK,Kenai Peninsula Borough,Alaska,"Kenai Peninsula Borough, Alaska"
111,99664,AK,Kenai Peninsula Borough,Alaska,"Kenai Peninsula Borough, Alaska"
112,99669,AK,Kenai Peninsula Borough,Alaska,"Kenai Peninsula Borough, Alaska"
113,99672,AK,Kenai Peninsula Borough,Alaska,"Kenai Peninsula Borough, Alaska"
114,99682,AK,Kenai Peninsula Borough,Alaska,"Kenai Peninsula Borough, Alaska"
115,99901,AK,Ketchikan Gateway Borough,Alaska,"Ketchikan Gateway Borough, Alaska"
116,99928,AK,Ketchikan Gateway Borough,Alaska,"Ketchikan Gateway Borough, Alaska"
117,99550,AK,Kodiak Island Borough,Alaska,"Kodiak Island Borough, Alaska"
118,99608,AK,Kodiak Island Borough,Alaska,"Kodiak Island Borough, Alaska"
119,99615,AK,Kodiak Island Borough,Alaska,"Kodiak Island Borough, Alaska"
120,99619,AK,Kodiak Island Borough,Alaska,"Kodiak Island Borough, Alaska"
121,99624,AK,Kodiak Island Borough,Alaska,"Kodiak Island Borough, Alaska"
122,99643,AK,Kodiak Island Borough,Alaska,"Kodiak Island Borough, Alaska"
123,99644,AK,Kodiak Island Borough,Alaska,"Kodiak Island Borough, Alaska"
124,99697,AK,Kodiak Island Borough,Alaska,"Kodiak Island Borough, Alaska"
125,99548,AK,Lake and Peninsula Borough,Alaska,"Lake and Peninsula Borough, Alaska"
126,99549,AK,Lake and Peninsula Borough,Alaska,"Lake and Peninsula Borough, Alaska"
127,99564,AK,Lake and Peninsula Borough,Alaska,"Lake and Peninsula Borough, Alaska"
128,99565,AK,Lake and Peninsula Borough,Alaska,"Lake and Peninsula Borough, Alaska"
129,99579,AK,Lake and Peninsula Borough,Alaska,"Lake and Peninsula Borough, Alaska"
130,99606,AK,Lake and Peninsula Borough,Alaska,"Lake and Peninsula Borough, Alaska"
131,99625,AK,Lake and Peninsula Borough,Alaska,"Lake and Peninsula Borough, Alaska"
132,99640,AK,Lake and Peninsula Borough,Alaska,"Lake and Peninsula Borough, Alaska"
133,99647,AK,Lake and Peninsula Borough,Alaska,"Lake and Peninsula Borough, Alaska"
134,99648,AK,Lake and Peninsula Borough,Alaska,"Lake and Peninsula Borough, Alaska"
135,99649,AK,Lake and Peninsula Borough,Alaska,"Lake and Peninsula Borough, Alaska"
136,99653,AK,Lake and Peninsula Borough,Alaska,"Lake and Peninsula Borough, Alaska"
137,99629,AK,Matanuska-Susitna Borough,Alaska,"Matanuska-Susitna Borough, Alaska"
138,99645,AK,Matanuska-Susitna Borough,Alaska,"Matanuska-Susitna Borough, Alaska"
139,99652,AK,Matanuska-Susitna Borough,Alaska,"Matanuska-Susitna Borough, Alaska"
140,99654,AK,Matanuska-Susitna Borough,Alaska,"Matanuska-Susitna Borough, Alaska"
141,99667,AK,Matanuska-Susitna Borough,Alaska,"Matanuska-Susitna Borough, Alaska"
142,99674,AK,Matanuska-Susitna Borough,Alaska,"Matanuska-Susitna Borough, Alaska"
143,99676,AK,Matanuska-Susitna Borough,Alaska,"Matanuska-Susitna Borough, Alaska"
144,99683,AK,Matanuska-Susitna Borough,Alaska,"Matanuska-Susitna Borough, Alaska"
145,99687,AK,Matanuska-Susitna Borough,Alaska,"Matanuska-Susitna Borough, Alaska"
146,99688,AK,Matanuska-Susitna Borough,Alaska,"Matanuska-Susitna Borough, Alaska"
147,99694,AK,Matanuska-Susitna Borough,Alaska,"Matanuska-Susitna Borough, Alaska"
148,99729,AK,Matanuska-Susitna Borough,Alaska,"Matanuska-Susitna Borough, Alaska"
149,99509,AK,Municipality of Anchorage,Alaska,"Anchorage Municipality, Alaska"
150,99511,AK,Municipality of Anchorage,Alaska,"Anchorage Municipality, Alaska"
151,99514,AK,Municipality of Anchorage,Alaska,"Anchorage Municipality, Alaska"
152,99520,AK,Municipality of Anchorage,Alaska,"Anchorage Municipality, Alaska"
153,99521,AK,Municipality of Anchorage,Alaska,"Anchorage Municipality, Alaska"
154,99522,AK,Municipality of Anchorage,Alaska,"Anchorage Municipality, Alaska"
155,99523,AK,Municipality of Anchorage,Alaska,"Anchorage Municipality, Alaska"
156,99524,AK,Municipality of Anchorage,Alaska,"Anchorage Municipality, Alaska"
157,99529,AK,Municipality of Anchorage,Alaska,"Anchorage Municipality, Alaska"
158,99530,AK,Municipality of Anchorage,Alaska,"Anchorage Municipality, Alaska"
159,99599,AK,Municipality of Anchorage,Alaska,"Anchorage Municipality, Alaska"
160,99695,AK,Municipality of Anchorage,Alaska,"Anchorage Municipality, Alaska"
161,99659,AK,Nome Census Area,Alaska,"Nome Census Area, Alaska"
162,99671,AK,Nome Census Area,Alaska,"Nome Census Area, Alaska"
163,99684,AK,Nome Census Area,Alaska,"Nome Census Area, Alaska"
164,99739,AK,Nome Census Area,Alaska,"Nome Census Area, Alaska"
165,99742,AK,Nome Census Area,Alaska,"Nome Census Area, Alaska"
166,99753,AK,Nome Census Area,Alaska,"Nome Census Area, Alaska"
167,99762,AK,Nome Census Area,Alaska,"Nome Census Area, Alaska"
168,99769,AK,Nome Census Area,Alaska,"Nome Census Area, Alaska"
169,99771,AK,Nome Census Area,Alaska,"Nome Census Area, Alaska"
170,99772,AK,Nome Census Area,Alaska,"Nome Census Area, Alaska"
171,99778,AK,Nome Census Area,Alaska,"Nome Census Area, Alaska"
172,99783,AK,Nome Census Area,Alaska,"Nome Census Area, Alaska"
173,99784,AK,Nome Census Area,Alaska,"Nome Census Area, Alaska"
174,99785,AK,Nome Census Area,Alaska,"Nome Census Area, Alaska"
175,99510,AK,North Slope Borough,Alaska,"North Slope Borough, Alaska"
176,99519,AK,North Slope Borough,Alaska,"North Slope Borough, Alaska"
177,99721,AK,North Slope Borough,Alaska,"North Slope Borough, Alaska"
178,99723,AK,North Slope Borough,Alaska,"North Slope Borough, Alaska"
179,99734,AK,North Slope Borough,Alaska,"North Slope Borough, Alaska"
180,99747,AK,North Slope Borough,Alaska,"North Slope Borough, Alaska"
181,99759,AK,North Slope Borough,Alaska,"North Slope Borough, Alaska"
182,99766,AK,North Slope Borough,Alaska,"North Slope Borough, Alaska"
183,99782,AK,North Slope Borough,Alaska,"North Slope Borough, Alaska"
184,99789,AK,North Slope Borough,Alaska,"North Slope Borough, Alaska"
185,99791,AK,North Slope Borough,Alaska,"North Slope Borough, Alaska"
186,99727,AK,Northwest Arctic Borough,Alaska,"Northwest Arctic Borough, Alaska"
187,99736,AK,Northwest Arctic Borough,Alaska,"Northwest Arctic Borough, Alaska"
188,99749,AK,Northwest Arctic Borough,Alaska,"Northwest Arctic Borough, Alaska"
189,99750,AK,Northwest Arctic Borough,Alaska,"Northwest Arctic Borough, Alaska"
190,99751,AK,Northwest Arctic Borough,Alaska,"Northwest Arctic Borough, Alaska"
191,99752,AK,Northwest Arctic Borough,Alaska,"Northwest Arctic Borough, Alaska"
192,99761,AK,Northwest Arctic Borough,Alaska,"Northwest Arctic Borough, Alaska"
193,99763,AK,Northwest Arctic Borough,Alaska,"Northwest Arctic Borough, Alaska"
194,99770,AK,Northwest Arctic Borough,Alaska,"Northwest Arctic Borough, Alaska"
195,99773,AK,Northwest Arctic Borough,Alaska,"Northwest Arctic Borough, Alaska"
196,99786,AK,Northwest Arctic Borough,Alaska,"Northwest Arctic Borough, Alaska"
197,99830,AK,Petersburg Census Area,Alaska,"Petersburg Borough, Alaska"
198,99833,AK,Petersburg Census Area,Alaska,"Petersburg Borough, Alaska"
